"ProductCode","MeterSize","OrificeBoreOrHDRatio","KFactor"
"FPD510","015","A5",0.67
"FPD510","015","A8",0.642
"FPD510","015","B2",0.628
"FPD510","015","B5",0.612
"FPD510","015","B8",0.608
"FPD510","015","C2",0.608
"FPD510","015","C5",0.619
"FPD510","015","C8",0.642
"FPD510","025","A5",0.645
"FPD510","025","A8",0.635
"FPD510","025","B2",0.62
"FPD510","025","B5",0.605
"FPD510","025","B8",0.604
"FPD510","025","C2",0.603
"FPD510","025","C5",0.604
"FPD510","025","C8",0.605
"FPD510","025","D2",0.63
"FPD510","025","D5",0.666
"FPD510","025","D8",0.715
"FPD510","040","D2",0.611
"FPD510","040","D5",0.614
"FPD510","040","E2",0.623
"FPD510","040","E5",0.65
"FPD510","040","E8",0.714
"FPD570","","H2",0.74341
"FPD570","","H3",0.75176
"FPD570","","H4",0.76605
"FPD570","","H5",0.79425
"FPD500","10","B1",0.4
"FPD500","15","B1",0.4
"FPD500","20","B1",0.4
"FPD500","30","B1",0.4
"FPD500","40","B1",0.4
"FPD500","60","B1",0.4
"FPD500","80","B1",0.4
"FPD500","90","B1",0.4
"FPD500","92","B1",0.4
"FPD500","10","B2",0.65
"FPD500","15","B2",0.65
"FPD500","20","B2",0.65
"FPD500","30","B2",0.65
"FPD500","40","B2",0.65
"FPD500","60","B2",0.65
"FPD500","80","B2",0.65
"FPD500","90","B2",0.65
"FPD500","92","B2",0.65
