NominalBore_in,150lb,300lb,400lb,600lb,900lb,1500lb,2500lb
"1""",47.63,50.8,50.8,50.8,50.8,50.8,60.3
"1½""",65.09,68.26,68.26,68.26,68.26,68.26,82.55
"2""",82.55,82.55,82.55,82.55,95.25,95.25,101.6
"3""",114.3,123.83,123.83,123.83,123.83,136.52,127
"4""",149.22,149.22,149.22,149.22,149.22,161.92,157.16
"6""",193.68,211.14,211.14,211.14,211.14,211.14,228.6
"8""",247.65,269.87,269.87,269.87,269.87,269.87,279.4
"10""",304.8,323.85,323.85,323.85,323.85,323.85,342.9
"12""",381,381,381,381,381,381,406.4
"14""",396.88,419.1,419.1,419.1,419.1,419.1,
"16""",454.03,469.9,469.9,469.9,469.9,469.9,
"18""",517.53,533.4,533.4,533.4,533.4,533.4,
"20""",558.8,584.2,584.2,584.2,584.2,584.2,
"24""",637.1,692.15,692.15,692.15,692.15,692.15,
